Info_oficinas
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque 16  en el piso 1  número 102  se encuentra el espacio ALMACEN en el campus El Volador.
En el bloque 16  en el piso 1  número 108  se encuentra el espacio SUCURSAL BANCARIA en el campus El Volador.
En el bloque 16  en el piso 1  número 109-02  se encuentra el espacio LABORATORIO DE BIOANÁLISIS en el campus El Volador.
En el bloque 16  en el piso 1  número 109-03  se encuentra el espacio AULA T.I.C en el campus El Volador.
En el bloque 16  en el piso 1  número 110  se encuentra el espacio LABORATORIO DE FISIOLOGÍA DE INSECTOS en el campus El Volador.
En el bloque 16  en el piso 1  número 118  se encuentra el espacio LIBRERIA en el campus El Volador.
En el bloque 16  en el piso 2  número 205  se encuentra el espacio LABORATORIO DE BIOLOGIA GENERAL Y CELULAR en el campus El Volador.
En el bloque 16  en el piso 2  número 208  se encuentra el espacio LABORATORIO DE BIOTECNOLOGÍA AMBIENTAL en el campus El Volador.
En el bloque 16  en el piso 2  número 211  se encuentra el espacio LABORATORIO DE PROCESOS MOLECULARES en el campus El Volador.
En el bloque 16  en el piso 2  número 214  se encuentra el espacio LABORATORIO DE BIOQUÍMICA en el campus El Volador.
En el bloque 16  en el piso 2  número 216  se encuentra el espacio LABORATORIO DE INSECTOS Y BIOTECNOLOGÍA en el campus El Volador.
En el bloque 16  en el piso 2  número 218  se encuentra el espacio LABORATORIO DE GENETICA en el campus El Volador.
En el bloque 16  en el piso 2  número 223  se encuentra el espacio AULA en el campus El Volador.
En el bloque 16  en el piso 2  número 224  se encuentra el espacio AULA en el campus El Volador.
En el bloque 16  en el piso 3  número 305  se encuentra el espacio LABORATORIO DE QUÍMICA GENERAL 1 en el campus El Volador.
En el bloque 16  en el piso 3  número 308  se encuentra el espacio LABORATORIO DE QUÍMICA GENERAL 2 en el campus El Volador.
En el bloque 16  en el piso 3  número 310  se encuentra el espacio LABORATORIO DE QUÍMICA GENERAL 3 en el campus El Volador.
En el bloque 16  en el piso 3  número 312  se encuentra el espacio LABORATORIO DE SEPARACIONES QUÍMICAS en el campus El Volador.
En el bloque 16  en el piso 3  número 316  se encuentra el espacio LABORATORIO DE QUÍMICA EXPERIMENTAL en el campus El Volador.
En el bloque 16  en el piso 3  número 318  se encuentra el espacio LABORATORIO DE ESTRUCTURAS QUÍMICAS en el campus El Volador.
En el bloque 16  en el piso 3  número 321  se encuentra el espacio LABORATORIO DE DINÁMICA MOLECULAR Y FISICOQUÍMICA en el campus El Volador.
En el bloque 16  en el piso 3  número 324  se encuentra el espacio LABORATORIO DE ANÁLISIS Y PROCESOS AMBIENTALES en el campus El Volador.
En el bloque 16  en el piso 4  número 405  se encuentra el espacio LABORATORIO DE QUÍMICA ORGÁNICA en el campus El Volador.
En el bloque 16  en el piso 4  número 408  se encuentra el espacio LABORATORIO DE QUÍMICA ANALÍTICA en el campus El Volador.
En el bloque 16  en el piso 4  número 410  se encuentra el espacio LABORATORIO DE QUÍMICA INORGÁNICA en el campus El Volador.
En el bloque 16  en el piso 4  número 412  se encuentra el espacio AULA en el campus El Volador.
